State,District,Population Rural,Population Urban,Children Received Polio Birth Rural,Children Received Polio Birth Urban,Children Did Not Receive Any Vaccination Rural,Children Did Not Receive Any Vaccination Urban,Children Received Measles Vaccine Rural,Children Received Measles Vaccine Urban,Children Fully Immunized Rural,Children Fully Immunized Urban,Children Received Bcg Rural,Children Received Bcg Urban,Diarrhoea Dysentery Male Rural,Diarrhoea Dysentery Male Urban,Diarrhoea Dysentery Female Rural,Diarrhoea Dysentery Female Urban,Respiratory Infection Male Rural,Respiratory Infection Male Urban,Respiratory Infection Female Rural,Respiratory Infection Female Urban,Fever Male Rural,Fever Male Urban,Fever Female Rural,Fever Female Urban,Acute Illness Male Rural,Acute Illness Male Urban,Acute Illnes Female Rural,Acute Illness Female Urban,Acute Illness And Treatment From Any Source Rural,Acute Illness And Taking Treatment From Any Source Urban,Acute Illness And Taking Treatment From Any Source Male Rural,Acute Illness And Taking  Treatment From Any Source  Male Urban,Acute Illness And Taking Treatment From Any Source Female Rural,Acute Illness And Taking Treatment From Any Source Female Urban,Acute Illness And Taking Treatment From Government Source Person Rural,Acute Illness And Taking Treatment From Government Person Urban,Acute Illness And Taking Treatment From Government Male Rural,Acute Illness And Taking Treatment From Government Sourc Male Urban,Acute Illness An Taking Treatment From Governmen FemaleRural,Acute Illness And Taking Treatment From Government Female Urban,Women Aware Of Hiv And Aids Rural,Women Aware Of Hiv And Aids Urban,Women Aware Of Rti And Sti Rural,Women Aware Of Rti And Sti Urban,Women Aware Of Haf Ors And Ort And Zinc And Rural,Women Aware Of Haf Ors And Ort And Zinc And Urban,Women Aware Of Ari And  Pneumonia Rural,Women Aware Of Ari And  Pneumonia Urban
Madhya Pradesh,Chhatarpur,33494,9846,81.0,89.0,4.8,4.5,70.1,85.6,37.0,70.1,93.3,94.8,1119.24,728.35,1135.74,768.72,546.76,1259.84,632.78,1207.99,6154.65,11574.8,7009.59,12914.56,8069.25,13700.79,9102.15,15154.84,99.0,99.9,98.9,99.9,99.1,100.0,11.4,23.2,11.8,21.0,10.9,25.4,56.1,88.2,81.2,92.8,86.6,96.2,100.0,94.9
Madhya Pradesh,Chhindwara,30060,12682,83.3,91.9,5.6,3.8,89.8,93.8,63.7,57.7,92.9,96.2,460.07,602.32,453.15,359.83,3685.01,3042.47,3368.1,3058.55,7305.07,5528.96,7624.99,6035.33,12743.23,10162.16,12792.75,10664.05,98.9,98.6,98.9,98.5,99.0,98.8,17.8,19.3,17.4,20.7,18.2,17.9,65.2,84.8,63.6,60.4,97.2,100.0,95.2,100.0
Madhya Pradesh,Damoh,31221,10179,66.0,85.8,5.9,7.1,76.0,81.2,39.9,52.1,92.7,91.6,1333.04,1054.85,1614.21,956.34,2516.64,1131.57,2854.86,1122.66,9658.22,5140.01,9877.2,6943.87,14952.58,8649.79,16384.58,10790.02,97.9,99.6,98.4,99.6,97.3,99.6,5.2,2.2,4.3,2.0,6.1,2.3,44.5,82.6,55.8,54.5,96.2,98.9,98.1,99.8
Madhya Pradesh,Datia,21526,11932,86.6,90.1,5.5,7.8,73.5,80.0,61.4,68.6,92.8,91.9,379.11,678.66,479.59,403.6,1489.74,1404.67,1555.34,1926.25,1760.41,1373.11,2607.53,1779.49,3795.87,3708.96,4852.79,4384.52,33.8,57.4,32.5,54.9,35.0,59.8,15.8,32.7,17.5,28.7,14.4,36.4,76.9,91.2,95.7,95.1,97.5,99.0,97.4,97.0
Madhya Pradesh,Dewas,45950,24625,91.1,92.3,2.7,2.7,87.6,87.2,76.3,69.6,96.0,96.6,116.84,78.86,52.22,25.61,1288.43,559.89,1399.08,477.98,1652.34,1458.88,2125.32,1800.96,3234.24,2271.11,3740.26,2441.11,97.3,97.0,96.6,95.5,97.9,99.0,13.2,13.6,13.9,12.7,12.7,14.5,70.3,86.5,81.6,86.8,97.4,99.6,91.8,95.5
Madhya Pradesh,Dhar,30856,8129,87.2,93.7,2.2,2.3,80.3,81.9,70.8,66.8,97.6,97.4,235.21,308.28,265.92,261.92,173.26,450.56,122.19,288.11,3036.56,2489.92,3070.02,2540.6,3878.18,3770.45,3915.7,3745.42,51.7,59.3,50.6,54.7,52.8,64.3,35.5,34.1,39.3,39.1,31.7,29.3,62.5,87.3,77.7,91.4,95.8,98.4,81.8,91.4
Madhya Pradesh,East Nimar,41485,14684,82.6,92.5,3.9,2.1,78.7,88.0,63.2,68.8,95.1,97.4,601.75,525.2,591.59,391.63,2876.51,5124.2,3796.98,6958.88,4139.87,4655.78,4748.43,5422.5,8143.81,10915.54,9726.88,13104.38,70.0,100.0,69.3,100.0,70.6,100.0,22.2,13.2,23.8,13.8,20.9,12.8,71.1,90.6,60.4,77.6,97.5,99.7,91.7,95.4
Madhya Pradesh,Guna,19421,9978,92.8,94.0,3.7,0.0,86.4,89.7,66.5,79.8,95.7,99.7,719.8,803.52,799.3,803.3,1413.65,2200.11,1354.05,1910.55,5187.29,4228.05,4745.47,5058.62,7565.73,7461.26,7083.35,8163.27,23.9,49.2,22.7,45.1,25.5,53.5,25.9,32.4,25.0,35.8,26.9,29.4,53.4,90.8,81.0,93.6,98.1,99.8,94.1,99.1
Madhya Pradesh,Gwalior,20355,42914,90.9,95.8,1.7,0.5,91.5,90.1,73.8,77.5,97.7,99.0,131.32,158.68,138.6,181.68,2492.11,1741.09,2328.82,1816.81,2327.96,1335.57,2511.67,1443.35,5242.66,3517.43,5177.74,3699.22,54.4,98.4,52.9,98.5,56.2,98.6,20.1,22.7,20.7,22.4,19.5,23.1,84.4,94.0,89.2,96.2,99.6,99.6,93.6,98.0
Madhya Pradesh,Harda,51287,16829,85.1,95.9,5.0,1.3,88.1,90.6,60.8,63.7,94.4,98.7,427.08,437.28,383.16,360.25,463.42,632.91,380.73,1080.75,5802.62,2520.14,6230.12,2447.2,7054.4,3855.01,7239.46,4173.91,99.0,99.1,99.0,98.8,99.0,99.4,7.4,14.1,8.0,15.4,6.8,12.9,67.7,92.8,52.1,73.9,97.0,99.2,89.7,99.9
